"trialid","subj","aborted","xpos","ypos","regnum"
0,"126",FALSE,677,680,14
1,"126",FALSE,401,492,8
2,"126",FALSE,419,511,8
3,"126",FALSE,844,516,18
4,"126",FALSE,445,499,8
5,"126",FALSE,631,691,14
6,"126",FALSE,839,532,18
7,"126",FALSE,641,298,12
8,"126",FALSE,442,493,8
9,"126",FALSE,692,317,12
10,"126",FALSE,655,702,14
11,"126",FALSE,674,298,12
12,"126",FALSE,617,697,14
13,"126",FALSE,812,493,18
14,"126",FALSE,422,476,8
15,"126",FALSE,827,531,18
16,"126",FALSE,597,300,12
17,"126",TRUE,NA,NA,NA
18,"126",TRUE,NA,NA,NA
19,"126",FALSE,442,483,8
20,"126",FALSE,666,274,12
21,"126",FALSE,815,477,18
22,"126",FALSE,629,693,14
23,"126",FALSE,814,469,18
24,"126",FALSE,635,308,12
25,"126",TRUE,NA,NA,NA
26,"126",TRUE,NA,NA,NA
27,"126",TRUE,451,487,8
28,"126",FALSE,634,256,12
29,"126",FALSE,838,503,18
0,"127",TRUE,NA,NA,NA
1,"127",FALSE,852,496,18
2,"127",FALSE,651,696,14
3,"127",FALSE,635,676,14
4,"127",FALSE,614,353,12
5,"127",FALSE,374,471,8
6,"127",FALSE,840,510,18
7,"127",FALSE,447,478,8
8,"127",FALSE,429,501,8
9,"127",FALSE,838,462,18
10,"127",FALSE,634,299,12
11,"127",FALSE,405,512,8
12,"127",FALSE,827,520,18
13,"127",TRUE,NA,NA,NA
14,"127",FALSE,611,280,12
15,"127",FALSE,617,719,14
16,"127",FALSE,635,370,12
17,"127",FALSE,662,311,12
18,"127",TRUE,NA,NA,NA
19,"127",TRUE,NA,NA,NA
20,"127",FALSE,620,682,14
21,"127",FALSE,839,480,18
22,"127",FALSE,889,454,18
23,"127",FALSE,630,298,12
24,"127",FALSE,847,491,18
25,"127",FALSE,831,480,18
26,"127",FALSE,416,473,8
27,"127",FALSE,840,522,18
28,"127",FALSE,614,306,12
29,"127",FALSE,638,279,12
0,"128",TRUE,NA,NA,NA
1,"128",TRUE,NA,NA,NA
2,"128",FALSE,443,500,8
3,"128",FALSE,619,711,14
4,"128",FALSE,644,703,14
5,"128",FALSE,630,292,12
6,"128",FALSE,625,286,12
7,"128",TRUE,NA,NA,NA
8,"128",FALSE,823,480,18
9,"128",FALSE,834,514,18
10,"128",FALSE,450,508,8
11,"128",FALSE,631,716,14
12,"128",FALSE,458,492,8
13,"128",FALSE,648,290,12
14,"128",FALSE,450,511,8
15,"128",FALSE,602,274,12
16,"128",TRUE,635,717,14
17,"128",FALSE,645,723,14
18,"128",FALSE,857,511,18
